tpm,treatment
1.26512,Con
1.7119099999999998,Con
1.37519,Con
2.78327,Con
0.0,Con
0.991922,Con
0.0,Con
0.635443,Con
0.0,Con
1.84628,Con
1.09919,Con
1.05165,Con
0.5624180000000001,Con
0.0,Con
0.965824,Con
3.40602,Con
0.0,Con
2.72891,Con
0.0,Con
0.808473,Con
0.5715600000000001,Con
1.42505,Con
0.320809,Con
0.706345,Con
1.38512,Con
1.01488,Con
0.497768,Con
0.689567,Con
2.26377,Con
0.7264970000000001,Con
0.0,Con
1.60226,Con
2.2703,Con
1.54621,Con
0.0,Con
2.68993,Con
2.06198,Con
0.788366,Con
0.698401,Con
0.495207,Con
2.37204,Con
1.88083,Con
0.801535,Con
1.49786,Con
0.84709,Con
1.94299,Con
1.2556200000000002,Con
2.0146,Con
3.85174,Waco9
0.0,Emoy2
4.26127,Waco9
0.0,Emoy2
3.06368,Waco9
0.0,Waco9
3.90358,Emoy2
1.46938,Emoy2
0.0,Waco9
1.94268,Emoy2
4.05914,Waco9
0.894294,Emoy2
3.65611,Waco9
1.92015,Emoy2
2.73201,Emoy2
0.0,Waco9
1.50576,Emoy2
1.45518,Emoy2
1.28185,Waco9
0.0,Waco9
2.08721,Emoy2
3.27823,Emoy2
5.44648,Waco9
3.5453900000000003,Emoy2
0.945729,Waco9
7.87368,Waco9
2.6889,Emoy2
1.63581,Waco9
2.92916,Emoy2
8.10339,Waco9
23.9052,Emoy2
0.901738,Emoy2
1.68595,Emoy2
0.0,Waco9
2.50714,Emoy2
3.82434,Emoy2
0.0,Waco9
0.0,Emoy2
3.51507,Waco9
0.381197,Waco9
3.35236,Emoy2
6.894539999999999,Waco9
0.895559,Emoy2
0.0,Waco9
1.69155,Emoy2
1.56448,Emoy2
6.25793,Emoy2
5.90106,Waco9
0.0,Waco9
1.1296700000000002,Emoy2
5.8219699999999985,Waco9
1.45912,Waco9
3.77997,Emoy2
2.94378,Waco9
2.71016,Emoy2
0.78115,Emoy2
1.55695,Waco9
3.39247,Emoy2
0.0,Emoy2
6.08635,Waco9
1.05708,Waco9
1.4731299999999998,Emoy2
0.0,Emoy2
2.46519,Waco9
1.08815,Emoy2
0.0,Emoy2
0.0,Waco9
1.21666,Waco9
4.86669,Waco9
0.0,Waco9
1.05129,Emoy2
2.92263,Emoy2
3.39537,Emoy2
0.467671,Waco9
3.8728,Emoy2
4.22025,Waco9
0.0,Waco9
5.20166,Emoy2
2.10803,Emoy2
0.0,Waco9
1.48424,Emoy2
0.0,Emoy2
2.62325,Emoy2
1.18376,Emoy2
28.6599,Emoy2
0.0,Waco9
3.67766,Emoy2
2.64536,Emoy2
4.62293,Waco9
0.0,Emoy2
2.05572,Emoy2
0.390046,Emoy2
3.59047,Waco9
1.8858,Emoy2
0.0,Waco9
2.29057,Emoy2
1.13869,Waco9
2.83951,Waco9
1.74718,Emoy2
0.0,Waco9
0.763055,Waco9
0.0,Emoy2
2.83276,Emoy2
1.73988,Emoy2
0.0,Waco9
6.07636,Waco9
1.01757,Emoy2
4.90779,Emoy2
0.0,Waco9
0.0,Waco9
0.989084,Emoy2
2.03347,Emoy2
7.20189,Emoy2
0.612182,Waco9
4.19538,Emoy2
1.92354,Emoy2
0.741149,Emoy2
0.7524430000000001,Waco9
4.3832900000000015,Waco9
0.0,Waco9
0.0,Emoy2
0.0,Waco9
1.95783,Emoy2
6.11645,Waco9
5.1735,Waco9
2.83573,Emoy2
1.97837,Emoy2
3.23605,Emoy2
0.0,Emoy2
4.40569,Emoy2
2.56407,Emoy2
2.66335,Emoy2
1.5061,Emoy2
1.54366,Emoy2
2.6554,Emoy2
1.76236,Waco9
3.77359,Emoy2
2.2614400000000003,Emoy2
0.464074,Emoy2
0.411462,Waco9
2.30832,Waco9
1.94152,Emoy2
7.598389999999998,Emoy2
5.1368,Emoy2
