tpm,treatment
39.5335,Con
38.4973,Con
16.4649,Con
41.2357,Con
43.4905,Con
29.6351,Con
5.57923,Con
36.751,Con
1.9294,Con
18.3646,Con
0.762021,Con
36.9642,Con
39.7132,Con
37.3662,Con
5.00845,Con
33.3598,Con
21.6554,Con
55.4002,Con
4.45138,Con
1.58293,Con
3.3181300000000005,Con
23.6658,Con
42.6067,Con
52.6789,Con
38.904,Con
45.3962,Con
2.48838,Con
1.6529,Con
0.65876,Con
20.2658,Con
2.19156,Con
1.52704,Con
23.4374,Con
1.69077,Con
2.56055,Con
24.2845,HopAM1
61.3943,F.oxysporum
69.4692,HopAM1
41.2269,HopAM1
10.2291,F.oxysporum
31.1655,F.oxysporum
25.2066,HopAM1
20.2077,HopAM1
61.6128,HopAM1
55.897,F.oxysporum
42.6961,F.oxysporum
25.8139,pv.maculicola
27.0467,HopAM1
9.25509,F.oxysporum
51.7316,HopAM1
52.7792,F.oxysporum
15.2407,F.oxysporum
6.24718,F.oxysporum
20.5735,HopAM1
38.3629,F.oxysporum
8.48433,F.oxysporum
23.5888,pv.maculicola
31.1271,pv.maculicola
8.079180000000001,pv.maculicola
34.6992,HopAM1
7.993810000000001,F.oxysporum
4.15375,F.oxysporum
38.8195,F.oxysporum
57.3091,F.oxysporum
52.8889,F.oxysporum
35.9766,HopAM1
8.77454,F.oxysporum
81.1469,HopAM1
10.1255,F.oxysporum
6.57344,F.oxysporum
29.1201,HopAM1
5.65326,F.oxysporum
45.3488,F.oxysporum
6.5345900000000015,F.oxysporum
43.56,F.oxysporum
48.0988,F.oxysporum
9.72928,F.oxysporum
30.1475,F.oxysporum
24.6668,pv.maculicola
3.4839800000000003,F.oxysporum
6.01246,F.oxysporum
46.9294,F.oxysporum
22.3221,F.oxysporum
71.5524,F.oxysporum
73.1964,HopAM1
6.0039099999999985,F.oxysporum
18.0046,HopAM1
10.5223,F.oxysporum
42.1887,F.oxysporum
41.3949,F.oxysporum
51.3326,F.oxysporum
34.1494,F.oxysporum
5.01351,F.oxysporum
92.9086,HopAM1
5.41834,F.oxysporum
24.1112,pv.maculicola
20.7524,HopAM1
41.1346,F.oxysporum
5.79758,F.oxysporum
18.2365,pv.maculicola
57.1085,F.oxysporum
17.0724,pv.maculicola
6.17814,F.oxysporum
17.7109,HopAM1
39.6897,F.oxysporum
45.0315,F.oxysporum
41.1873,F.oxysporum
